county,weapon,year,week,day_of_season,season_week,moon_phase,illumination,rut_stage_peak,rut_stage_pre,temp_min,temp_max,pressure_trend,wind_speed,precip_prob,cold_front,latitude,longitude,is_real,harvest_count
Anne Arundel,rifle,2022,0,307,1,0.317433396426793,0.7055664580881861,1,0,75.0,84.26741138790122,-1.4817203758977653,2.299242937025589,0.5,0,38.97,-76.55,1,269
Anne Arundel,rifle,2022,1,314,2,0.5544757418477957,0.9709957344495006,1,0,69.375,84.11288920964576,0.24571514370986405,11.068522280457096,0.525,0,38.97,-76.55,1,309
Anne Arundel,rifle,2022,2,321,3,0.7915180872687984,0.3710414047148724,1,0,63.75,78.8411436167749,-1.1016244896044671,2.6952589485570715,0.55,0,38.97,-76.55,1,341
Anne Arundel,rifle,2022,3,328,4,0.02856043268980102,0.008029038701735935,0,0,58.125,72.019543178564,1.6287361149838115,3.1814299175547758,0.575,0,38.97,-76.55,1,234
Anne Arundel,rifle,2022,4,335,5,0.2656027781108037,0.5489390937279066,0,0,52.5,66.25531906942288,1.8409952239602774,0.8095823706798936,0.6,0,38.97,-76.55,1,265
Anne Arundel,rifle,2022,5,342,6,0.5026451235318063,0.999930947140589,0,0,46.875,59.678349764310354,-1.0438323384001145,0.8515485681906184,0.625,0,38.97,-76.55,1,343
Anne Arundel,rifle,2022,6,349,7,0.7396874689528659,0.5323751063979798,0,0,41.25,54.911830064330864,-0.16886165339768086,3.201055476316403,0.65,0,38.97,-76.55,1,261
Anne Arundel,rifle,2022,7,356,8,0.9767298143738685,0.005334891863390645,0,0,35.625,53.260214765238594,0.8135679915806828,8.533999681499951,0.675,0,38.97,-76.55,1,187
Anne Arundel,archery,2022,0,246,1,0.2517786720436561,0.5055877467084711,0,1,75.0,84.23957420780582,0.18179777178812292,3.1996889783943523,0.5,0,38.97,-76.55,1,91
Anne Arundel,archery,2022,1,253,2,0.4888210174646588,0.9987671059964716,0,1,72.3529411764706,84.6026608422023,-0.3218324306083079,1.0924525320866283,0.5117647058823529,0,38.97,-76.55,1,106
Anne Arundel,archery,2022,2,260,3,0.7258633628856614,0.5755371536507978,0,1,69.70588235294117,84.49525212075893,-0.45047066644643496,11.341879946352371,0.5235294117647059,0,38.97,-76.55,1,106
Anne Arundel,archery,2022,3,267,4,0.962905708306721,0.013519077253484946,0,1,67.05882352941177,77.38179791014326,2.2008473453349793,3.728638581967486,0.5352941176470588,0,38.97,-76.55,1,80
Anne Arundel,archery,2022,4,274,5,0.19994805372772362,0.34533630430196643,0,1,64.41176470588235,82.48224946069521,0.5992074326513991,6.767090677303669,0.5470588235294118,0,38.97,-76.55,1,66
Anne Arundel,archery,2022,5,281,6,0.4369903991487263,0.96132473912524,0,1,61.76470588235294,70.530053073209,-0.6755344886206845,7.250347325191834,0.5588235294117647,0,38.97,-76.55,1,94
Anne Arundel,archery,2022,6,288,7,0.674032744569729,0.7296985627629547,1,0,59.11764705882353,72.11850211002763,1.4271227794274655,6.0978795006053845,0.5705882352941176,0,38.97,-76.55,1,129
Anne Arundel,archery,2022,7,295,8,0.9110750899907316,0.07603593039923284,1,0,56.470588235294116,72.38818361044898,-0.2927638720071818,2.2561685574555406,0.5823529411764706,0,38.97,-76.55,1,82
Anne Arundel,archery,2022,8,302,9,0.14811743541173428,0.20134331532249478,1,0,53.82352941176471,63.72623369286522,-0.24835771813848584,2.2371803456586714,0.5941176470588235,0,38.97,-76.55,1,78
Anne Arundel,archery,2022,9,309,10,0.3851597808327938,0.8753873020177728,1,0,51.17647058823529,62.117445804531684,0.2647838704983061,3.280919499860535,0.6058823529411765,0,38.97,-76.55,1,108
Anne Arundel,archery,2022,10,316,11,0.6222021262537965,0.8597137534098416,1,0,48.529411764705884,57.99505705205165,0.5295892526451177,5.719183615778553,0.6176470588235294,0,38.97,-76.55,1,107
Anne Arundel,archery,2022,11,323,12,0.8592444716747991,0.1831204505031771,1,0,45.882352941176464,57.520581605621075,-2.142346346100675,2.437613202394406,0.6294117647058823,0,38.97,-76.55,1,50
Anne Arundel,archery,2022,12,330,13,0.09628681709580178,0.08874551431299516,0,0,43.23529411764706,56.08160989141532,0.07080516487257738,1.187026222875229,0.6411764705882353,0,38.97,-76.55,1,53
Anne Arundel,archery,2022,13,337,13,0.33332916251680444,0.7499886523776041,0,0,40.58823529411765,52.11095584506227,3.4048575500823652,1.6202293169038355,0.6529411764705882,0,38.97,-76.55,1,84
Anne Arundel,archery,2022,14,344,13,0.570371507937864,0.9519153558029791,0,0,37.94117647058824,47.08652052316883,-0.4713428551934972,1.6922101603849338,0.6647058823529411,0,38.97,-76.55,1,73
Anne Arundel,archery,2022,15,351,13,0.8074138533588666,0.323515770366991,0,0,35.294117647058826,49.49287620770586,-0.8546991923295779,1.9620966838466474,0.6764705882352942,0,38.97,-76.55,1,82
